sofifa_id;player_url;short_name;age;dob;height_cm;weight_kg;nationality;club;overall;value_eur;wage_eur;preferred_foot;release_clause_eur;team_position;team_jersey_number;joined;contract_valid_until;pace;shooting;passing;dribbling;defending;physic;gk_diving;gk_handling;gk_kicking;gk_reflexes;gk_speed;gk_positioning
211110;https://sofifa.com/player/211110/paulo-dybala/20/159586;P. Dybala;25;15/11/1993;177;75;Argentina;Juventus;88;76500000;215000;Left;132000000;RW;10;01/07/2015;2022;83;82;84;90;43;64;;;;;;
195864;https://sofifa.com/player/195864/paul-pogba/20/159586;P. Pogba;26;15/03/1993;191;84;France;Manchester United;88;72500000;250000;Right;143200000;LDM;6;09/08/2016;2021;74;81;86;85;66;86;;;;;;
210257;https://sofifa.com/player/210257/ederson-santana-de-moraes/20/159586;Ederson;25;17/08/1993;188;86;Brazil;Manchester City;88;54500000;185000;Left;104900000;GK;31;01/07/2017;2024;;;;;;;86;82;93;88;63;86
202652;https://sofifa.com/player/202652/raheem-sterling/20/159586;R. Sterling;24;08/12/1994;170;69;England;Manchester City;88;73000000;255000;Right;140500000;LW;7;14/07/2015;2023;93;79;78;89;45;57;;;;;;
190460;https://sofifa.com/player/190460/christian-eriksen/20/159586;C. Eriksen;27;14/02/1992;181;76;Denmark;Tottenham Hotspur;88;68000000;205000;Right;130900000;RM;23;30/08/2013;2020;73;81;90;84;53;63;;;;;;
192119;https://sofifa.com/player/192119/thibaut-courtois/20/159586;T. Courtois;27;11/05/1992;199;96;Belgium;Real Madrid;88;48000000;235000;Left;102000000;GK;13;09/08/2018;2024;;;;;;;85;89;72;87;49;85
152729;https://sofifa.com/player/152729/gerard-pique-bernabeu/20/159586;Piqué;32;02/02/1987;194;85;Spain;FC Barcelona;88;38000000;285000;Right;77900000;RCB;3;01/07/2008;2022;56;61;72;68;88;80;;;;;;
162835;https://sofifa.com/player/162835/samir-handanovic/20/159586;S. Handanovič;34;14/07/1984;193;92;Slovenia;Inter;88;26000000;110000;Right;44200000;GK;1;01/07/2012;2021;;;;;;;88;85;69;89;53;89
167495;https://sofifa.com/player/167495/manuel-neuer/20/159586;M. Neuer;33;27/03/1986;193;92;Germany;FC Bayern München;88;32000000;155000;Right;52800000;GK;1;01/07/2011;2021;;;;;;;87;87;91;87;57;85
167948;https://sofifa.com/player/167948/hugo-lloris/20/159586;H. Lloris;32;26/12/1986;188;82;France;Tottenham Hotspur;88;36000000;150000;Left;66600000;GK;1;31/08/2012;2022;;;;;;;89;82;68;91;63;84
168542;https://sofifa.com/player/168542/david-josue-jimenez-silva/20/159586;David Silva;33;08/01/1986;173;67;Spain;Manchester City;88;36000000;265000;Left;66600000;LCM;21;14/07/2010;2020;65;74;88;89;52;57;;;;;;
179813;https://sofifa.com/player/179813/edinson-cavani/20/159586;E. Cavani;32;14/02/1987;185;77;Uruguay;Paris Saint-Germain;88;47000000;195000;Right;87000000;ST;9;16/07/2013;2020;75;86;72;79;55;83;;;;;;
182493;https://sofifa.com/player/182493/diego-godin/20/159586;D. Godín;33;16/02/1986;187;78;Uruguay;Inter;88;28000000;135000;Right;47600000;RCB;2;01/07/2019;2022;60;48;64;61;89;83;;;;;;
182521;https://sofifa.com/player/182521/toni-kroos/20/159586;T. Kroos;29;04/01/1990;183;76;Germany;Real Madrid;88;57000000;330000;Right;116900000;LCM;8;17/07/2014;2023;45;80;90;81;70;69;;;;;;
188350;https://sofifa.com/player/188350/marco-reus/20/159586;M. Reus;30;31/05/1989;180;71;Germany;Borussia Dortmund;88;56000000;170000;Right;92400000;CAM;11;01/07/2012;2023;85;88;84;87;45;66;;;;;;
188567;https://sofifa.com/player/188567/pierre-emerick-aubameyang/20/159586;P. Aubameyang;30;18/06/1989;187;80;Gabon;Arsenal;88;57000000;205000;Right;108300000;LM;14;31/01/2018;2021;94;85;75;80;37;69;;;;;;
208722;https://sofifa.com/player/208722/sadio-mane/20/159586;S. Mané;27;10/04/1992;175;69;Senegal;Liverpool;88;62000000;220000;Right;114700000;LW;10;01/07/2016;2023;94;83;77;89;44;74;;;;;;
212218;https://sofifa.com/player/212218/aymeric-laporte/20/159586;A. Laporte;25;27/05/1994;189;85;France;Manchester City;87;56500000;195000;Left;108800000;LCB;14;30/01/2018;2024;64;50;71;68;88;82;;;;;;
218667;https://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/20/159586;Bernardo Silva;24;10/08/1994;173;64;Portugal;Manchester City;87;64000000;210000;Left;123200000;RW;20;01/07/2017;2024;81;76;83;92;51;67;;;;;;
200145;https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/20/159586;Casemiro;27;23/02/1992;185;84;Brazil;Real Madrid;87;53500000;240000;Right;113700000;CDM;14;11/07/2013;2021;62;72;75;72;85;89;;;;;;
200104;https://sofifa.com/player/200104/heung-min-son/20/159586;H. Son;26;08/07/1992;183;78;Korea Republic;Tottenham Hotspur;87;60000000;185000;Right;115500000;LM;7;28/08/2015;2023;88;86;80;87;42;68;;;;;;
135507;https://sofifa.com/player/135507/fernando-luiz-rosa/20/159586;Fernandinho;34;04/05/1985;179;67;Brazil;Manchester City;87;19500000;200000;Right;36100000;CDM;25;01/07/2013;2020;66;74;79;78;84;79;;;;;;
164240;https://sofifa.com/player/164240/thiago-emiliano-da-silva/20/159586;Thiago Silva;34;22/09/1984;183;82;Brazil;Paris Saint-Germain;87;18500000;135000;Right;34200000;LCB;2;01/07/2012;2020;62;54;72;72;87;78;;;;;;
165153;https://sofifa.com/player/165153/karim-benzema/20/159586;K. Benzema;31;19/12/1987;185;81;France;Real Madrid;87;45000000;285000;Right;92300000;CF;9;09/07/2009;2021;76;82;80;86;39;77;;;;;;
172871;https://sofifa.com/player/172871/jan-vertonghen/20/159586;J. Vertonghen;32;24/04/1987;189;86;Belgium;Tottenham Hotspur;87;32500000;155000;Left;60100000;LCB;5;01/07/2012;2020;63;63;74;72;87;79;;;;;;
175943;https://sofifa.com/player/175943/dries-mertens/20/159586;D. Mertens;32;06/05/1987;169;61;Belgium;Napoli;87;40000000;135000;Right;68000000;SUB;14;01/07/2013;2020;88;83;80;91;35;53;;;;;;
178603;https://sofifa.com/player/178603/mats-hummels/20/159586;M. Hummels;30;16/12/1988;191;94;Germany;Borussia Dortmund;87;41000000;130000;Right;67700000;LCB;15;01/07/2019;2022;51;58;76;72;89;76;;;;;;
184087;https://sofifa.com/player/184087/toby-alderweireld/20/159586;T. Alderweireld;30;02/03/1989;186;81;Belgium;Tottenham Hotspur;87;41000000;155000;Right;75900000;RCB;4;08/07/2015;2020;64;55;72;66;88;79;;;;;;
189332;https://sofifa.com/player/189332/jordi-alba-ramos/20/159586;Jordi Alba;30;21/03/1989;170;68;Spain;FC Barcelona;87;40000000;240000;Left;82000000;LB;18;01/07/2012;2024;90;69;81;83;79;73;;;;;;
189509;https://sofifa.com/player/189509/thiago-alcantara/20/159586;Thiago;28;11/04/1991;174;70;Spain;FC Bayern München;87;50000000;180000;Right;82500000;CDM;6;14/07/2013;2021;69;74;85;90;69;63;;;;;;
193041;https://sofifa.com/player/193041/keylor-navas/20/159586;K. Navas;32;15/12/1986;185;80;Costa Rica;Real Madrid;87;30500000;195000;Right;62500000;SUB;1;03/08/2014;2020;;;;;;;90;81;75;90;53;82
198219;https://sofifa.com/player/198219/lorenzo-insigne/20/159586;L. Insigne;28;04/06/1991;163;59;Italy;Napoli;87;52000000;140000;Right;88400000;LS;24;01/07/2010;2022;89;79;85;91;35;47;;;;;;
222492;https://sofifa.com/player/222492/leroy-sane/20/159586;L. Sané;23;11/01/1996;183;75;Germany;Manchester City;86;61000000;195000;Left;125100000;SUB;19;02/08/2016;2021;95;81;79;86;38;70;;;;;;
207865;https://sofifa.com/player/207865/marcos-aoas-correa/20/159586;Marquinhos;25;14/05/1994;183;75;Brazil;Paris Saint-Germain;86;51500000;120000;Right;99100000;RCB;5;19/07/2013;2022;74;41;73;70;86;77;;;;;;
232363;https://sofifa.com/player/232363/milan-skriniar/20/159586;M. Škriniar;24;11/02/1995;187;80;Slovakia;Inter;86;52000000;89000;Right;92300000;LCB;37;07/07/2017;2023;69;41;59;66;87;82;;;;;;
199556;https://sofifa.com/player/199556/marco-verratti/20/159586;M. Verratti;26;05/11/1992;165;60;Italy;Paris Saint-Germain;86;54500000;140000;Right;104900000;RCM;6;18/07/2012;2021;65;60;84;90;79;66;;;;;;
205600;https://sofifa.com/player/205600/samuel-umtiti/20/159586;S. Umtiti;25;14/11/1993;182;75;France;FC Barcelona;86;50000000;210000;Left;106300000;SUB;23;12/07/2016;2023;69;63;69;69;86;82;;;;;;
186153;https://sofifa.com/player/186153/wojciech-szczesny/20/159586;W. Szczęsny;29;18/04/1990;195;90;Poland;Juventus;86;37500000;135000;Right;64700000;GK;1;19/07/2017;2021;;;;;;;85;82;73;88;49;86
212622;https://sofifa.com/player/212622/joshua-kimmich/20/159586;J. Kimmich;24;08/02/1995;176;73;Germany;FC Bayern München;86;48000000;125000;Right;82800000;RB;32;01/07/2015;2023;72;69;86;84;79;78;;;;;;
197781;https://sofifa.com/player/197781/francisco-roman-alarcon-suarez/20/159586;Isco;27;21/04/1992;176;79;Spain;Real Madrid;86;51000000;245000;Right;108400000;SUB;22;03/07/2013;2022;71;77;83;91;59;60;;;;;;
201942;https://sofifa.com/player/201942/roberto-firmino-barbosa-de-oliveira/20/159586;Roberto Firmino;27;02/10/1991;181;76;Brazil;Liverpool;86;52000000;170000;Right;100100000;CF;9;06/07/2015;2023;77;82;80;87;61;78;;;;;;
168651;https://sofifa.com/player/168651/ivan-rakitic/20/159586;I. Rakitić;31;10/03/1988;184;78;Croatia;FC Barcelona;86;38000000;245000;Right;77900000;RCM;4;01/07/2014;2021;62;81;86;81;74;70;;;;;;
180206;https://sofifa.com/player/180206/miralem-pjanic/20/159586;M. Pjanić;29;02/04/1990;178;72;Bosnia Herzegovina;Juventus;86;42500000;180000;Right;70100000;CDM;5;01/07/2016;2023;68;68;87;85;75;67;;;;;;
183898;https://sofifa.com/player/183898/angel-di-maria/20/159586;A. Di María;31;14/02/1988;180;69;Argentina;Paris Saint-Germain;86;39000000;150000;Left;72200000;LW;11;06/08/2015;2021;84;79;84;87;48;68;;;;;;
184344;https://sofifa.com/player/184344/leonardo-bonucci/20/159586;L. Bonucci;32;01/05/1987;190;85;Italy;Juventus;86;28500000;160000;Right;47000000;RCB;19;02/08/2018;2023;58;58;69;70;87;79;;;;;;
189242;https://sofifa.com/player/189242/philippe-coutinho-correia/20/159586;Coutinho;27;12/06/1992;172;68;Brazil;FC Bayern München;86;46500000;175000;Right;;LCM;10;;2020;79;80;84;90;52;64;;;;;;
189513;https://sofifa.com/player/189513/daniel-parejo-munoz/20/159586;Parejo;30;16/04/1989;182;74;Spain;Valencia CF;86;41000000;69000;Right;86100000;RCM;10;01/07/2011;2022;41;80;88;79;70;69;;;;;;
189596;https://sofifa.com/player/189596/thomas-muller/20/159586;T. Müller;29;13/09/1989;186;75;Germany;FC Bayern München;86;43500000;170000;Right;71800000;SUB;25;10/08/2008;2021;72;83;79;78;55;71;;;;;;
192387;https://sofifa.com/player/192387/ciro-immobile/20/159586;C. Immobile;29;20/02/1990;185;85;Italy;Lazio;86;44500000;105000;Right;75700000;ST;17;27/07/2016;2023;80;85;63;81;39;76;;;;;;
193301;https://sofifa.com/player/193301/alexandre-lacazette/20/159586;A. Lacazette;28;28/05/1991;175;73;France;Arsenal;86;46000000;165000;Right;87400000;ST;9;05/07/2017;2022;82;85;75;86;40;74;;;;;;
235243;https://sofifa.com/player/235243/matthijs-de-ligt/20/159586;M. de Ligt;19;12/08/1999;189;89;Netherlands;Juventus;85;50000000;76000;Right;92500000;SUB;4;18/07/2019;2024;67;58;66;68;83;84;;;;;;
230621;https://sofifa.com/player/230621/gianluigi-donnarumma/20/159586;G. Donnarumma;20;25/02/1999;196;90;Italy;Milan;85;41500000;34000;Right;78900000;GK;99;01/07/2015;2021;;;;;;;90;80;74;90;50;80
228702;https://sofifa.com/player/228702/frenkie-de-jong/20/159586;F. de Jong;22;12/05/1997;180;74;Netherlands;FC Barcelona;85;52000000;195000;Right;117000000;LCM;21;01/07/2019;2024;79;64;84;87;76;76;;;;;;
201535;https://sofifa.com/player/201535/raphael-varane/20/159586;R. Varane;26;25/04/1993;191;81;France;Real Madrid;85;45000000;205000;Right;95600000;RCB;5;01/07/2011;2022;83;45;62;63;85;80;;;;;;
212190;https://sofifa.com/player/212190/niklas-sule/20/159586;N. Süle;23;03/09/1995;195;97;Germany;FC Bayern München;85;46500000;115000;Right;80200000;RCB;4;01/07/2017;2022;72;42;55;50;86;82;;;;;;
223848;https://sofifa.com/player/223848/sergej-milinkovic-savic/20/159586;S. Milinković-Savić;24;27/02/1995;191;76;Serbia;Lazio;85;50500000;73000;Right;89600000;RDM;21;06/08/2015;2023;67;79;80;83;77;84;;;;;;
231866;https://sofifa.com/player/231866/rodrigo-hernandez-cascante/20/159586;Rodri;23;22/06/1996;191;82;Spain;Manchester City;85;47000000;150000;Right;90500000;SUB;16;04/07/2019;2024;67;68;77;77;82;80;;;;;;
208421;https://sofifa.com/player/208421/saul-niguez-esclapez/20/159586;Saúl;24;21/11/1994;184;77;Spain;Atlético Madrid;85;49500000;77000;Left;105200000;LCM;8;01/07/2013;2026;70;78;79;81;78;78;;;;;;
209499;https://sofifa.com/player/209499/fabio-henrique-tavares/20/159586;Fabinho;25;23/10/1993;188;78;Brazil;Liverpool;85;45000000;125000;Right;86600000;CDM;3;01/07/2018;2023;68;69;78;77;85;83;;;;;;
216267;https://sofifa.com/player/216267/andrew-robertson/20/159586;A. Robertson;25;11/03/1994;178;64;Scotland;Liverpool;85;43500000;125000;Left;83700000;LB;26;21/07/2017;2024;85;62;77;79;80;75;;;;;;
216460;https://sofifa.com/player/216460/jose-maria-gimenez/20/159586;J. Giménez;24;20/01/1995;185;80;Uruguay;Atlético Madrid;85;45000000;69000;Right;95600000;RCB;2;01/07/2013;2023;69;45;52;54;86;82;;;;;;
220440;https://sofifa.com/player/220440/clement-lenglet/20/159586;C. Lenglet;24;17/06/1995;186;81;France;FC Barcelona;85;45000000;175000;Left;95600000;LCB;15;12/07/2018;2023;75;45;68;65;86;80;;;;;;
212198;https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/20/159586;Bruno Fernandes;24;08/09/1994;179;69;Portugal;Sporting CP;85;49000000;24000;Right;101700000;RCM;8;01/07/2017;2023;77;83;87;85;65;74;;;;;;
199482;https://sofifa.com/player/199482/anthony-lopes/20/159586;A. Lopes;28;01/10/1990;184;81;Portugal;Olympique Lyonnais;85;33500000;88000;Left;66200000;GK;1;01/07/2011;2020;;;;;;;87;80;75;89;64;84
185122;https://sofifa.com/player/185122/peter-gulacsi/20/159586;P. Gulácsi;29;06/05/1990;192;86;Hungary;RB Leipzig;85;31000000;69000;Right;55000000;GK;1;01/07/2015;2022;;;;;;;84;86;81;86;43;84
189117;https://sofifa.com/player/189117/roman-burki/20/159586;R. Bürki;28;14/11/1990;187;85;Switzerland;Borussia Dortmund;85;32000000;92000;Right;55200000;GK;1;01/07/2015;2021;;;;;;;86;80;74;89;50;83
192505;https://sofifa.com/player/192505/romelu-lukaku/20/159586;R. Lukaku;26;13/05/1993;190;94;Belgium;Inter;85;46000000;115000;Left;81700000;LS;9;08/08/2019;2024;75;82;73;72;35;84;;;;;;
192774;https://sofifa.com/player/192774/kostas-manolas/20/159586;K. Manolas;28;14/06/1991;189;83;Greece;Napoli;85;37500000;105000;Right;66600000;RCB;44;02/07/2019;2022;82;25;42;60;86;81;;;;;;
194404;https://sofifa.com/player/194404/norberto-murara-neto/20/159586;Neto;29;19/07/1989;190;84;Brazil;FC Barcelona;85;31000000;175000;Right;65900000;SUB;13;09/07/2019;2023;;;;;;;86;81;79;82;54;82
197445;https://sofifa.com/player/197445/david-alaba/20/159586;D. Alaba;27;24/06/1992;180;78;Austria;FC Bayern München;85;38000000;135000;Left;65600000;LB;27;10/02/2010;2021;83;73;81;80;80;76;;;;;;
201399;https://sofifa.com/player/201399/mauro-icardi/20/159586;M. Icardi;26;19/02/1993;181;75;Argentina;Inter;85;46000000;115000;Right;81700000;RES;36;09/07/2013;2021;75;84;61;77;36;69;;;;;;
204963;https://sofifa.com/player/204963/daniel-carvajal-ramos/20/159586;Carvajal;27;11/01/1992;173;73;Spain;Real Madrid;85;38000000;205000;Right;80800000;RB;2;05/07/2013;2022;81;47;78;81;82;80;;;;;;
208670;https://sofifa.com/player/208670/hakim-ziyech/20/159586;H. Ziyech;26;19/03/1993;181;65;Morocco;Ajax;85;45000000;39000;Left;66400000;RAM;22;30/08/2016;2022;80;75;86;83;50;66;;;;;;
41236;https://sofifa.com/player/41236/zlatan-ibrahimovic/20/159586;Z. Ibrahimović;37;03/10/1981;195;95;Sweden;LA Galaxy;85;14000000;15000;Right;21000000;ST;9;23/03/2018;2019;56;88;77;77;34;78;;;;;;
143076;https://sofifa.com/player/143076/alejandro-gomez/20/159586;A. Gómez;31;15/02/1988;165;68;Argentina;Atalanta;85;34000000;92000;Right;57800000;CAM;10;02/09/2014;2022;89;78;81;86;39;55;;;;;;
167664;https://sofifa.com/player/167664/gonzalo-higuain/20/159586;G. Higuaín;31;10/12/1987;186;89;Argentina;Juventus;85;34500000;175000;Right;56900000;SUB;21;26/07/2016;2021;63;85;71;80;31;71;;;;;;
170890;https://sofifa.com/player/170890/blaise-matuidi/20/159586;B. Matuidi;32;09/04/1987;180;75;France;Juventus;85;25000000;145000;Left;41300000;SUB;14;18/08/2017;2020;75;66;76;78;83;81;;;;;;
173731;https://sofifa.com/player/173731/gareth-bale/20/159586;G. Bale;29;16/07/1989;185;82;Wales;Real Madrid;85;37500000;250000;Left;76900000;SUB;11;02/09/2013;2022;91;87;82;82;58;76;;;;;;
176676;https://sofifa.com/player/176676/marcelo-vieira-da-silva/20/159586;Marcelo;31;12/05/1988;174;75;Brazil;Real Madrid;85;28000000;205000;Left;57400000;LB;12;01/01/2007;2022;81;74;83;89;77;79;;;;;;
177413;https://sofifa.com/player/177413/axel-witsel/20/159586;A. Witsel;30;12/01/1989;186;81;Belgium;Borussia Dortmund;85;31500000;110000;Right;52000000;LDM;28;17/08/2018;2022;73;74;80;79;83;81;;;;;;
191043;https://sofifa.com/player/191043/alex-sandro-lobo-silva/20/159586;Alex Sandro;28;26/01/1991;180;80;Brazil;Juventus;85;33000000;155000;Left;54500000;LB;12;21/08/2015;2020;83;65;77;80;82;82;;;;;;
192629;https://sofifa.com/player/192629/iago-aspas-juncal/20/159586;Iago Aspas;31;01/08/1987;176;67;Spain;RC Celta;85;34500000;49000;Left;72500000;RS;10;01/07/2015;2023;78;84;77;85;35;64;;;;;;
193747;https://sofifa.com/player/193747/jorge-resurreccion/20/159586;Koke;27;08/01/1992;176;74;Spain;Atlético Madrid;85;40500000;88000;Right;83000000;RM;6;01/01/2011;2024;68;75;86;82;74;79;;;;;;
198710;https://sofifa.com/player/198710/james-rodriguez/20/159586;J. Rodríguez;27;12/07/1991;180;75;Colombia;Real Madrid;85;40500000;225000;Left;83000000;SUB;16;22/07/2014;2020;55;86;87;86;50;63;;;;;;
199914;https://sofifa.com/player/199914/allan-marques-loureiro/20/159586;Allan;28;08/01/1991;175;74;Brazil;Napoli;85;38000000;110000;Right;64600000;RCM;5;22/07/2015;2023;75;71;78;84;85;84;;;;;;
233049;https://sofifa.com/player/233049/jadon-sancho/20/159586;J. Sancho;19;25/03/2000;180;76;England;Borussia Dortmund;84;44500000;61000;Right;82300000;RM;7;31/08/2017;2022;88;72;77;90;36;60;;;;;;
235790;https://sofifa.com/player/235790/kai-havertz/20/159586;K. Havertz;20;11/06/1999;188;83;Germany;Bayer 04 Leverkusen;84;46000000;70000;Left;87400000;RF;29;01/07/2016;2022;84;78;79;84;44;65;;;;;;
231443;https://sofifa.com/player/231443/ousmane-dembele/20/159586;O. Dembélé;22;15/05/1997;178;67;France;FC Barcelona;84;42500000;195000;Left;95600000;SUB;11;28/08/2017;2022;93;79;80;87;36;57;;;;;;
206585;https://sofifa.com/player/206585/kepa-arrizabalaga/20/159586;Kepa;24;03/10/1994;186;85;Spain;Chelsea;84;31000000;92000;Right;61200000;GK;1;08/08/2018;2024;;;;;;;84;82;86;85;33;80
210514;https://sofifa.com/player/210514/joao-pedro-cavaco-cancelo/20/159586;João Cancelo;25;27/05/1994;182;74;Portugal;Manchester City;84;36500000;150000;Right;70300000;SUB;27;07/08/2019;2025;90;65;80;84;78;71;;;;;;
211117;https://sofifa.com/player/211117/dele-alli/20/159586;D. Alli;23;11/04/1996;188;80;England;Tottenham Hotspur;84;41500000;115000;Right;79900000;CAM;20;02/02/2015;2024;72;81;79;82;71;79;;;;;;
220814;https://sofifa.com/player/220814/lucas-hernandez/20/159586;L. Hernández;23;14/02/1996;182;76;France;FC Bayern München;84;37500000;110000;Left;64700000;LCB;21;01/07/2019;2024;81;54;70;71;83;82;;;;;;
230658;https://sofifa.com/player/230658/arthur-henrique-ramos-oliveira-melo/20/159586;Arthur;22;12/08/1996;171;73;Brazil;FC Barcelona;84;41000000;180000;Right;87100000;SUB;8;09/07/2018;2024;69;71;81;86;73;70;;;;;;
202556;https://sofifa.com/player/202556/memphis-depay/20/159586;M. Depay;25;13/02/1994;176;78;Netherlands;Olympique Lyonnais;84;40500000;110000;Right;80000000;LW;11;20/01/2017;2021;87;80;81;84;32;78;;;;;;
209658;https://sofifa.com/player/209658/leon-goretzka/20/159586;L. Goretzka;24;06/02/1995;189;79;Germany;FC Bayern München;84;40000000;120000;Right;69000000;SUB;18;01/07/2018;2022;81;77;80;81;75;79;;;;;;
212194;https://sofifa.com/player/212194/julian-brandt/20/159586;J. Brandt;23;02/05/1996;185;83;Germany;Borussia Dortmund;84;40500000;94000;Right;69900000;SUB;19;01/07/2019;2024;82;78;81;85;40;68;;;;;;
213345;https://sofifa.com/player/213345/kingsley-coman/20/159586;K. Coman;23;13/06/1996;179;75;France;FC Bayern München;84;40500000;120000;Right;69900000;LW;29;30/08/2015;2023;92;76;77;87;29;60;;;;;;
206113;https://sofifa.com/player/206113/serge-gnabry/20/159586;S. Gnabry;23;14/07/1995;175;75;Germany;FC Bayern München;84;39500000;120000;Right;68100000;RW;22;01/07/2017;2023;90;82;75;86;43;69;;;;;;
